tags: darakwon 11-과

[sound:결혼식.mp3]	결혼식	cérémonie de mariage
[sound:완성했어요.mp3]	완성했어요<div class="활용"><div class="bloc"><div class="부정사">완성하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">완성해요</div><div class="과거">완성했어요</div><div class="미래">완성할 거예요</div><div class="명령법">완성하세요</div></div><div class="bloc"><div class="고">완성하고</div><div class="지만">완성하지만</div><div class="는데">완성하는데</div><div class="면">완성하면</div></div></div>	il achevait, finissait, terminait<p class="small">(해요체, registre informel poli)</p>
[sound:완성할_거예요.mp3]	완성할 거예요<div class="활용"><div class="bloc"><div class="부정사">완성하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">완성해요</div><div class="과거">완성했어요</div><div class="미래">완성할 거예요</div><div class="명령법">완성하세요</div></div><div class="bloc"><div class="고">완성하고</div><div class="지만">완성하지만</div><div class="는데">완성하는데</div><div class="면">완성하면</div></div></div>	il achèvera, finira, terminera<p class="small">(해요체, registre informel poli)</p>

[sound:운동해요.mp3]	운동해요<div class="활용"><div class="bloc"><div class="부정사">운동하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">운동해요</div><div class="과거">운동했어요</div><div class="미래">운동할 거예요</div></div><div class="bloc"><div class="고">운동하고</div><div class="지만">운동하지만</div><div class="는데">운동하는데</div><div class="면">운동하면</div></div></div>	il fait du sport, il s'entraîne<p class="small">(해요체, registre informel poli)</p>
[sound:운동했어요.mp3]	운동했어요<div class="활용"><div class="bloc"><div class="부정사">운동하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">운동해요</div><div class="과거">운동했어요</div><div class="미래">운동할 거예요</div></div><div class="bloc"><div class="고">운동하고</div><div class="지만">운동하지만</div><div class="는데">운동하는데</div><div class="면">운동하면</div></div></div>	il faisait du sport, il s'entraînait<p class="small">(해요체, registre informel poli)</p>
[sound:운동할_거예요.mp3]	운동할 거예요<div class="활용"><div class="bloc"><div class="부정사">운동하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">운동해요</div><div class="과거">운동했어요</div><div class="미래">운동할 거예요</div></div><div class="bloc"><div class="고">운동하고</div><div class="지만">운동하지만</div><div class="는데">운동하는데</div><div class="면">운동하면</div></div></div>	il fera du sport, il s'entraînera<p class="small">(해요체, registre informel poli)</p>

[sound:운전해요.mp3]	운전해요<div class="활용"><div class="bloc"><div class="부정사">운전하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">운전해요</div><div class="과거">운전했어요</div><div class="미래">운전할 거예요</div></div><div class="bloc"><div class="고">운전하고</div><div class="지만">운전하지만</div><div class="는데">운전하는데</div><div class="면">운전하면</div></div></div>	il conduit <span class="small">(un véhicule)</span><p class="small">(해요체, registre informel poli)</p>
[sound:운전했어요.mp3]	운전했어요<div class="활용"><div class="bloc"><div class="부정사">운전하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">운전해요</div><div class="과거">운전했어요</div><div class="미래">운전할 거예요</div></div><div class="bloc"><div class="고">운전하고</div><div class="지만">운전하지만</div><div class="는데">운전하는데</div><div class="면">운전하면</div></div></div>	il conduisait <span class="small">(un véhicule)</span><p class="small">(해요체, registre informel poli)</p>
[sound:운전할_거예요.mp3]	운전할 거예요<div class="활용"><div class="bloc"><div class="부정사">운전하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">운전해요</div><div class="과거">운전했어요</div><div class="미래">운전할 거예요</div></div><div class="bloc"><div class="고">운전하고</div><div class="지만">운전하지만</div><div class="는데">운전하는데</div><div class="면">운전하면</div></div></div>	il conduira <span class="small">(un véhicule)</span><p class="small">(해요체, registre informel poli)</p>

[sound:유명해요.mp3]	유명해요<div class="활용"><div class="bloc"><div class="부정사">유명하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">유명해요</div><div class="과거">유명했어요</div><div class="미래">유명할 거예요</div></div><div class="bloc"><div class="고">유명하고</div><div class="지만">유명하지만</div><div class="는데">유명한데</div><div class="면">유명하면</div></div></div>	il est célèbre<p class="small">il est illustre, renommé, réputé</p><p class="small">(해요체, registre informel poli)</p>
[sound:유명했어요.mp3]	유명했어요<div class="활용"><div class="bloc"><div class="부정사">유명하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">유명해요</div><div class="과거">유명했어요</div><div class="미래">유명할 거예요</div></div><div class="bloc"><div class="고">유명하고</div><div class="지만">유명하지만</div><div class="는데">유명한데</div><div class="면">유명하면</div></div></div>	il était célèbre<p class="small">il était illustre, renommé, réputé</p><p class="small">(해요체, registre informel poli)</p>
[sound:유명할_거예요.mp3]	유명할 거예요<div class="활용"><div class="bloc"><div class="부정사">유명하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">유명해요</div><div class="과거">유명했어요</div><div class="미래">유명할 거예요</div></div><div class="bloc"><div class="고">유명하고</div><div class="지만">유명하지만</div><div class="는데">유명한데</div><div class="면">유명하면</div></div></div>	il sera célèbre<p class="small">il sera illustre, renommé, réputé</p><p class="small">(해요체, registre informel poli)</p>

[sound:이야기해요.mp3]	이야기해요<div class="활용"><div class="bloc"><div class="부정사">이야기하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">이야기해요</div><div class="과거">이야기했어요</div><div class="미래">이야기할 거예요</div></div><div class="bloc"><div class="고">이야기하고</div><div class="지만">이야기하지만</div><div class="는데">이야기하는데</div><div class="면">이야기하면</div></div></div>	il parle, il discute<p class="small">(해요체, registre informel poli)</p>
[sound:이야기했어요.mp3]	이야기했어요<div class="활용"><div class="bloc"><div class="부정사">이야기하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">이야기해요</div><div class="과거">이야기했어요</div><div class="미래">이야기할 거예요</div></div><div class="bloc"><div class="고">이야기하고</div><div class="지만">이야기하지만</div><div class="는데">이야기하는데</div><div class="면">이야기하면</div></div></div>	il parlait, il discutait<p class="small">(해요체, registre informel poli)</p>
[sound:이야기할_거예요.mp3]	이야기할 거예요<div class="활용"><div class="bloc"><div class="부정사">이야기하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">이야기해요</div><div class="과거">이야기했어요</div><div class="미래">이야기할 거예요</div></div><div class="bloc"><div class="고">이야기하고</div><div class="지만">이야기하지만</div><div class="는데">이야기하는데</div><div class="면">이야기하면</div></div></div>	il parlera, il discutera<p class="small">(해요체, registre informel poli)</p>

[sound:인사해요.mp3]	인사해요<div class="활용"><div class="bloc"><div class="부정사">인사하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">인사해요</div><div class="과거">인사했어요</div><div class="미래">인사할 거예요</div><div class="명령법">인사하세요</div></div><div class="bloc"><div class="고">인사하고</div><div class="지만">인사하지만</div><div class="는데">인사하는데</div><div class="면">인사하면</div></div></div>	il salue<p class="small">(해요체, registre informel poli)</p>
[sound:인사했어요.mp3]	인사했어요<div class="활용"><div class="bloc"><div class="부정사">인사하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">인사해요</div><div class="과거">인사했어요</div><div class="미래">인사할 거예요</div><div class="명령법">인사하세요</div></div><div class="bloc"><div class="고">인사하고</div><div class="지만">인사하지만</div><div class="는데">인사하는데</div><div class="면">인사하면</div></div></div>	il saluait<p class="small">(해요체, registre informel poli)</p>
[sound:인사할_거예요.mp3]	인사할 거예요<div class="활용"><div class="bloc"><div class="부정사">인사하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">인사해요</div><div class="과거">인사했어요</div><div class="미래">인사할 거예요</div><div class="명령법">인사하세요</div></div><div class="bloc"><div class="고">인사하고</div><div class="지만">인사하지만</div><div class="는데">인사하는데</div><div class="면">인사하면</div></div></div>	il saluera<p class="small">(해요체, registre informel poli)</p>

[sound:인터넷해요.mp3]	인터넷해요<p class="발음">[인터네<span style="font-weight: bold">태</span>요]</p><div class="활용"><div class="bloc"><div class="부정사">인터넷하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">인터넷해요</div><div class="과거">인터넷했어요</div><div class="미래">인터넷할 거예요</div></div><div class="bloc"><div class="고">인터넷하고</div><div class="지만">인터넷하지만</div><div class="는데">인터넷하는데</div><div class="면">인터넷하면</div></div></div>	il surfe <span class="small">(sur internet)</span><p class="small">(해요체, registre informel poli)</p>
